measure,value
split_strategy,stratified_source_grouped_filename
subjects,CSI1;CSI2;CSI3;CSI4
tr,TR34
trial_selection,random
trial_seed,20260509
trial_limit,1024
permutations,100
bootstraps,128
filenames_crossing_train_validation,0
repeated_filenames_crossing_train_validation,0
best_model,source_family
best_subject,CSI2
best_roi,LHPPA
best_pearson_r,0.1751281873
best_r2,0.0317132547
best_bootstrap_low,0.1230047767
best_bootstrap_high,0.2164694886
max_statistic_p,0.0099009901
mean_source_family_pearson_r,0.0809026644
mean_source_family_r2,0.0055933488
source_family_positive_r2_count,13
